veg_class	overstory	rarc	rmin	JAN-LAI	FEB-LAI	MAR-LAI	APL-LAI	MAY-LAI	JUNE-LAI	JULY-LAI	AUG-LAI	SEP-LAI	OCT-LAI	NOV-LAI	DEC-LAI	JAN-ALB	FEB-ALB	MAR-ALB	APL-ALB	MAY-ALB	JUNE-ALB	JULY-ALB	AUG-ALB	SEP-ALB	OCT-ALB	NOV-ALB	DEC-ALB	JAN-ROU	FEB-ROU	MAR-ROU	APL-ROU	MAY-ROU	JUN-ROU	JUL-ROU	AUG-ROU	SEP-ROU	OCT-ROU	NOV-ROU	DEC-ROU	JAN-DIS	FEB-DIS	MAR-DIS	APL-DIS	MAY-DIS	JUN-DIS	JUL-DIS	AUG-DIS	SEP-DIS	OCT-DIS	NOV-DIS	DEC-DIS	WIND_H	RGL	rad_atten	wind_atten	trunk_ratio	comment
1	0	15	154	1.287	1.395	1.551	1.773	2.519	4.137	5.021	4.58	2.848	1.886	1.518	1.366	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23	1.25281	2.624	2.733	2.85	2.933	2.994	3.017	3.005	2.951	2.861	2.73	2.621	10	30	0.5	0.5	0.5	Built-up_(urban_and_rural)
2	0	2	117	0.782	0.893	1.004	1.116	1.782	3.671	4.782	4.227	2.004	1.227	1.004	0.893	0.1	0.1	0.1	0.1	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0.1	0.078	0.078	0.078	0.077	0.06	0.065	0.072	0.077	0.078	0.078	0.078	0.078	0.427206	0.427206	0.427206	0.421729	0.32862	0.356005	0.394344	0.421729	0.427206	0.427206	0.427206	0.427206	3	100	0.5	0.5	0.16	Crop_Land
3	0	2	117	0.782	0.893	1.004	1.004	1.004	3.671	4.782	4.227	2.004	1.227	1.004	0.893	0.1	0.1	0.1	0.2	0.4	0.4	0.3	0.2	0.2	0.1	0.1	0.1	0.072	0.077	0.078	0.02	0.01	0.065	0.072	0.077	0.078	0.078	0.065	0.07	0.394344	0.421729	0.427206	0.10954	0.05477	0.356005	0.394344	0.421729	0.427206	0.427206	0.356005	0.38339	3	100	0.5	0.5	0.16	Fallow_Land
4	1	20	150	4.64	4.84	5.347	6.1	7.434	8.767	8.833	8.367	7.567	6	5.014	4.64	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.816	0.812	0.877	0.996	1.054	1.056	1.058	1.058	1.059	1.003	0.885	0.816	4.469232	4.447324	4.803329	5.455092	5.772758	5.783712	5.794666	5.794666	5.800143	5.493431	4.847145	4.469232	10	30	0.5	0.5	0.5	Plantation
5	1	50	175	8.76	9.16	9.827	10.093	10.36	10.76	10.493	10.227	10.093	9.827	9.16	8.76	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	1.112	1.103	1.088	1.082	1.076	1.068	1.073	1.079	1.082	1.088	1.103	1.112	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	11.33333333	19	30	0.5	0.5	0.5	Evergreen_Needle_Leaf_Forest
6	1	25	150	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	23.33333333	37	30	0.5	0.5	0.8	Evergreen_Broad_Leaf_Forest
7	1	40	175	8.76	9.16	9.827	10.093	10.36	10.76	10.493	10.227	10.093	9.827	9.16	8.76	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	1.112	1.103	1.088	1.082	1.076	1.068	1.073	1.079	1.082	1.088	1.103	1.112	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	10.33333333	16	30	0.5	0.5	0.452	Deciduous_Needle_Leaf_Forest
8	1	40	175	0.52	0.52	0.867	2.107	4.507	6.773	7.173	6.507	5.04	2.173	0.867	0.52	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.52	0.52	0.666	0.91	1.031	1.044	1.042	1.037	1.036	0.917	0.666	0.52	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	13.33333333	22	30	0.5	0.5	0.35	Deciduous_Broad_Leaf_Forest
9	1	40	175	4.64	4.84	5.347	6.1	7.434	8.767	8.833	8.367	7.567	6	5.014	4.64	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.18	0.816	0.812	0.877	0.996	1.054	1.056	1.058	1.058	1.059	1.003	0.885	0.816	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	12.83333333	21	30	0.5	0.5	0.5	Mixed_Forest
10	0	2.5	178	0.4	0.404	0.314	0.223	0.25	0.33	0.432	0.8	1.167	0.798	0.504	0.404	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.037	0.037	0.035	0.033	0.033	0.033	0.033	0.039	0.041	0.04	0.038	0.037	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	3	30	0.5	0.5	0.121	Shrub_land
11	0	2	165	0.782	0.893	1.004	1.116	1.782	3.671	4.782	4.227	2.004	1.227	1.004	0.893	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.072	0.077	0.078	0.02	0.01	0.065	0.072	0.077	0.078	0.078	0.065	0.07	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	0.38	3	100	0.5	0.5	0.017	Grassland
12	0	30	175	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	5.117	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	2.653	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	22.66666667	36	30	0.5	0.5	0.8	Mangrove_Forest
13	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	3	30	0.5	0.5	0	Water_Bodies
14	0	2	175	0.4	0.404	0.314	0.223	0.25	0.33	0.432	0.8	1.167	0.798	0.504	0.404	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.09	0.037	0.037	0.035	0.033	0.033	0.033	0.033	0.039	0.041	0.04	0.038	0.037	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	0.346666667	3	65	0.5	0.5	0.1	Permanent_Wetland
15	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.07	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	3	30	0.5	0.5	0	Aquaculture
16	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0012	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	0.0065724	2	100	0.5	0.5	0	Salt_pans
17	0	0	150	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.9	0.036	0.0385	0.039	0.01	0.005	0.0325	0.036	0.0385	0.039	0.039	0.0325	0.035	0.197172	0.2108645	0.213603	0.05477	0.027385	0.1780025	0.197172	0.2108645	0.213603	0.213603	0.1780025	0.191695	2	100	0.5	0.5	0.1	Snow_and_Ice
18	0	0.5	175	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.036	0.0385	0.039	0.01	0.005	0.0325	0.036	0.0385	0.039	0.039	0.0325	0.035	0.197172	0.2108645	0.213603	0.05477	0.027385	0.1780025	0.197172	0.2108645	0.213603	0.213603	0.1780025	0.191695	3	100	0.5	0.5	0.1	Barren_land
19	0	0.5	175	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.036	0.0385	0.039	0.01	0.005	0.0325	0.036	0.0385	0.039	0.039	0.0325	0.035	0.197172	0.2108645	0.213603	0.05477	0.027385	0.1780025	0.197172	0.2108645	0.213603	0.213603	0.1780025	0.191695	3	100	0.5	0.5	0.1	Waste_land
20	0	0.5	175	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.036	0.0385	0.039	0.01	0.005	0.0325	0.036	0.0385	0.039	0.039	0.0325	0.035	0.197172	0.2108645	0.213603	0.05477	0.027385	0.1780025	0.197172	0.2108645	0.213603	0.213603	0.1780025	0.191695	3	100	0.5	0.5	0.1	Mining
